Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
"The Boy, the Mole, the Fox and the Horse: A Great Gift for Book Lovers",146,4.8,121612,9.75,Happiness,HarperOne,HarperOne,Charlie Mackesy,128
It Starts with Us: A Novel (2) (It Ends with Us),147,4.5,146603,5.28,Divorce,Atria Books,,Colleen Hoover,336
Build the Life You Want: The Art and Science of Getting Happier,148,4.4,1037,17.04,Happiness,Portfolio,,Arthur C. Brooks,272
The Midnight Library: A GMA Book Club Pick (A Novel),149,4.3,239850,9.99,Genre Fiction,Penguin Books,,Matt Haig,304
Cat Kid Comic Club: Influencers: A Graphic Novel (Cat Kid Comic Club #5): From the Creator of Dog Man,150,4.8,493,6.08,Humor,Graphix,Scholastic,Dav Pilkey,224
Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,151,4.4,43850,10.82,California,Independently published,Independently Published,Jenson William,180
Reminders of Him: A Novel,152,4.7,251651,4.41,Family Life,Montlake,Montlake,Colleen Hoover,335
None of This Is True: A Novel,153,4.3,19444,14.00,Domestic Life,Atria Books,,Lisa Jewell,384
Hidden Potential: The Science of Achieving Greater Things,154,4.6,806,20.66,Motivational,Viking,,Adam Grant,304
The Lost Book of Herbal Remedies,155,4.7,17266,42.00,Self-Help,Global Brother,Claude Davis,Davis Claude,304
"Chainsaw Man, Vol. 13 (13)",156,4.6,102,9.04,Fantasy,VIZ Media LLC,,Tatsuki Fujimoto,184
Don't Believe Everything You Think: Why Your Thinking Is The Beginning & End Of Suffering (Beyond Suffering),157,4.6,5762,13.99,Anger Management,Independently published,,Joseph Nguyen,127
"How To Draw 101 Things For Kids: Simple And Easy Drawing Book With Animals, Plants, Sports, Foods,...Everythings",158,4.7,1623,10.37,Figure Drawing,Independently published,,Sophia Elizabeth,109
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",159,4.9,43632,4.95,Catholicism,Thomas Nelson,Thomas Nelson,Young Sarah,416
Polar Express 30th Anniversary Edition: A Christmas Holiday Book for Kids,160,4.9,19150,6.00,Classics,Clarion Books,Houghton Mifflin Harcourt,Chris Van Allsburg,32
"One Dark Window (The Shepherd King, 1)",161,4.6,10099,13.08,Dark Fantasy,Orbit,,Rachel Gillig,432
Wildfire: A Novel (The Maple Hills Series),162,4.2,9087,13.94,United States,Atria Books,,Hannah Grace,400
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",163,4.6,144999,10.01,Classics,HarperOne,imusti,Paulo Coelho,208
"The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes that You'll Love to Bake, Share and Eat!",164,4.8,10569,11.93,Arts,Sourcebooks Explore,Sourcebooks Explore,Kids America,224
If Animals Kissed Good Night,165,4.8,74203,3.68,Baby Animals,"Farrar, Straus and Giroux (BYR)","Farrar, Straus and Giroux (BYR)",Ann Whitford Paul,34
People of Walmart Adult Coloring Book: Rolling Back Dignity (OFFICIAL People of Walmart Books),166,4.7,11711,10.31,Digital,Day Drankin' Press,DAY DRANKIN PRESS LLC,Andrew Kipple,76
Snoop Dogg Presents Goon with the Spoon,167,4.7,108,13.68,Rock,Chronicle Books,,Snoop Dogg,192
101 Essays That Will Change The Way You Think,168,4.7,14525,15.99,Personal Transformation,Thought Catalog Books,THOUGHT CATALOG,Brianna Wiest,448
Teenage Mutant Ninja Turtles: The Last Ronin,169,4.9,7594,16.77,Science Fiction,IDW Publishing,,Kevin Eastman,224
The Little Liar: A Novel,170,4.8,1527,13.75,World War II,Harper,,Mitch Albom,352
"How To Draw Everything: 300 Drawings of Cute Stuff, Animals, Food, Gifts, and other Amazing Things | Book For Kids",171,4.9,185,10.90,Drawing,Independently published,ZONULAR,Emma Greene,110
